"Type","Incidents","startDate","endDate","Year"
"Alarm checks",10,2023-03-27,2023-04-02,2023
"Animal issue responses",0,2023-03-27,2023-04-02,2023
"AOD interactions",1,2023-03-27,2023-04-02,2023
"Building patrols",325,2023-03-27,2023-04-02,2023
"Candle/incense violation interactions",0,2023-03-27,2023-04-02,2023
"Community assistance responses",1,2023-03-27,2023-04-02,2023
"Escorts",4,2023-03-27,2023-04-02,2023
"Fire responses",0,2023-03-27,2023-04-02,2023
"Foot patrols",159,2023-03-27,2023-04-02,2023
"Held door checks",4,2023-03-27,2023-04-02,2023
"Maintenance issue responses",1,2023-03-27,2023-04-02,2023
"Medical assistance responses",3,2023-03-27,2023-04-02,2023
"Noise complaint responses",0,2023-03-27,2023-04-02,2023
"Suspicious circumstance responses",10,2023-03-27,2023-04-02,2023
"Theft reports taken",0,2023-03-27,2023-04-02,2023
"Unlocks",84,2023-03-27,2023-04-02,2023
"Vehicle patrols",266,2023-03-27,2023-04-02,2023
"Vehicle assistance responses",1,2023-03-27,2023-04-02,2023
"Welfare check responses",1,2023-03-27,2023-04-02,2023
"Alarm checks",10,2023-03-20,2023-03-26,2023
"Animal issue responses",0,2023-03-20,2023-03-26,2023
"AOD interactions",1,2023-03-20,2023-03-26,2023
"Building patrols",299,2023-03-20,2023-03-26,2023
"Candle/incense violation interactions",0,2023-03-20,2023-03-26,2023
"Community assistance responses",0,2023-03-20,2023-03-26,2023
"Escorts",4,2023-03-20,2023-03-26,2023
"Fire responses",0,2023-03-20,2023-03-26,2023
"Foot patrols",185,2023-03-20,2023-03-26,2023
"Held door checks",12,2023-03-20,2023-03-26,2023
"Maintenance issue responses",4,2023-03-20,2023-03-26,2023
"Medical assistance responses",2,2023-03-20,2023-03-26,2023
"Noise complaint responses",1,2023-03-20,2023-03-26,2023
"Suspicious circumstance responses",5,2023-03-20,2023-03-26,2023
"Theft reports taken",1,2023-03-20,2023-03-26,2023
"Unlocks",70,2023-03-20,2023-03-26,2023
"Vehicle patrols",226,2023-03-20,2023-03-26,2023
"Vehicle assistance responses",5,2023-03-20,2023-03-26,2023
"Welfare check responses",3,2023-03-20,2023-03-26,2023
"Alarm checks",5,2023-03-13,2023-03-19,2023
"Animal issue responses",0,2023-03-13,2023-03-19,2023
"AOD interactions",0,2023-03-13,2023-03-19,2023
"Building patrols",285,2023-03-13,2023-03-19,2023
"Candle/incense violation interactions",0,2023-03-13,2023-03-19,2023
"Community assistance responses",1,2023-03-13,2023-03-19,2023
"Escorts",3,2023-03-13,2023-03-19,2023
"Fire responses",0,2023-03-13,2023-03-19,2023
"Foot patrols",162,2023-03-13,2023-03-19,2023
"Held door checks",11,2023-03-13,2023-03-19,2023
"Maintenance issue responses",1,2023-03-13,2023-03-19,2023
"Medical assistance responses",4,2023-03-13,2023-03-19,2023
"Noise complaint responses",0,2023-03-13,2023-03-19,2023
"Suspicious circumstance responses",10,2023-03-13,2023-03-19,2023
"Theft reports taken",0,2023-03-13,2023-03-19,2023
"Unlocks",73,2023-03-13,2023-03-19,2023
"Vehicle patrols",252,2023-03-13,2023-03-19,2023
"Vehicle assistance responses",2,2023-03-13,2023-03-19,2023
"Welfare check responses",1,2023-03-13,2023-03-19,2023
"Alarm checks",5,2023-03-06,2023-03-12,2023
"Animal issue responses",0,2023-03-06,2023-03-12,2023
"AOD interactions",4,2023-03-06,2023-03-12,2023
"Building patrols",366,2023-03-06,2023-03-12,2023
"Candle/incense violation interactions",0,2023-03-06,2023-03-12,2023
"Community assistance responses",1,2023-03-06,2023-03-12,2023
"Escorts",6,2023-03-06,2023-03-12,2023
"Fire responses",0,2023-03-06,2023-03-12,2023
"Foot patrols",192,2023-03-06,2023-03-12,2023
"Held door checks",8,2023-03-06,2023-03-12,2023
"Maintenance issue responses",2,2023-03-06,2023-03-12,2023
"Medical assistance responses",5,2023-03-06,2023-03-12,2023
"Noise complaint responses",0,2023-03-06,2023-03-12,2023
"Suspicious circumstance responses",8,2023-03-06,2023-03-12,2023
"Theft reports taken",1,2023-03-06,2023-03-12,2023
"Unlocks",61,2023-03-06,2023-03-12,2023
"Vehicle patrols",262,2023-03-06,2023-03-12,2023
"Vehicle assistance responses",5,2023-03-06,2023-03-12,2023
"Welfare check responses",0,2023-03-06,2023-03-12,2023
"Alarm checks",4,2023-02-27,2023-03-05,2023
"Animal issue responses",1,2023-02-27,2023-03-05,2023
"AOD interactions",1,2023-02-27,2023-03-05,2023
"Building patrols",326,2023-02-27,2023-03-05,2023
"Candle/incense violation interactions",0,2023-02-27,2023-03-05,2023
"Community assistance responses",6,2023-02-27,2023-03-05,2023
"Escorts",2,2023-02-27,2023-03-05,2023
"Fire responses",0,2023-02-27,2023-03-05,2023
"Foot patrols",183,2023-02-27,2023-03-05,2023
"Held door checks",7,2023-02-27,2023-03-05,2023
"Maintenance issue responses",3,2023-02-27,2023-03-05,2023
"Medical assistance responses",6,2023-02-27,2023-03-05,2023
"Noise complaint responses",0,2023-02-27,2023-03-05,2023
"Suspicious circumstance responses",9,2023-02-27,2023-03-05,2023
"Theft reports taken",0,2023-02-27,2023-03-05,2023
"Unlocks",91,2023-02-27,2023-03-05,2023
"Vehicle patrols",252,2023-02-27,2023-03-05,2023
"Vehicle assistance responses",0,2023-02-27,2023-03-05,2023
"Welfare check responses",0,2023-02-27,2023-03-05,2023
"Alarm checks",8,2023-02-20,2023-02-26,2023
"Animal issue responses",0,2023-02-20,2023-02-26,2023
"AOD interactions",0,2023-02-20,2023-02-26,2023
"Building patrols",298,2023-02-20,2023-02-26,2023
"Candle/incense violation interactions",0,2023-02-20,2023-02-26,2023
"Community assistance responses",1,2023-02-20,2023-02-26,2023
"Escorts",3,2023-02-20,2023-02-26,2023
"Fire responses",0,2023-02-20,2023-02-26,2023
"Foot patrols",225,2023-02-20,2023-02-26,2023
"Held door checks",10,2023-02-20,2023-02-26,2023
"Maintenance issue responses",0,2023-02-20,2023-02-26,2023
"Medical assistance responses",1,2023-02-20,2023-02-26,2023
"Noise complaint responses",1,2023-02-20,2023-02-26,2023
"Suspicious circumstance responses",5,2023-02-20,2023-02-26,2023
"Theft reports taken",0,2023-02-20,2023-02-26,2023
"Unlocks",75,2023-02-20,2023-02-26,2023
"Vehicle patrols",216,2023-02-20,2023-02-26,2023
"Vehicle assistance responses",0,2023-02-20,2023-02-26,2023
"Welfare check responses",0,2023-02-20,2023-02-26,2023
"Alarm checks",8,2023-02-13,2023-02-19,2023
"Animal issue responses",0,2023-02-13,2023-02-19,2023
"AOD interactions",0,2023-02-13,2023-02-19,2023
"Building patrols",378,2023-02-13,2023-02-19,2023
"Candle/incense violation interactions",0,2023-02-13,2023-02-19,2023
"Community assistance responses",1,2023-02-13,2023-02-19,2023
"Escorts",4,2023-02-13,2023-02-19,2023
"Fire responses",0,2023-02-13,2023-02-19,2023
"Foot patrols",191,2023-02-13,2023-02-19,2023
"Held door checks",12,2023-02-13,2023-02-19,2023
"Maintenance issue responses",0,2023-02-13,2023-02-19,2023
"Medical assistance responses",3,2023-02-13,2023-02-19,2023
"Noise complaint responses",2,2023-02-13,2023-02-19,2023
"Suspicious circumstance responses",9,2023-02-13,2023-02-19,2023
"Theft reports taken",3,2023-02-13,2023-02-19,2023
"Unlocks",76,2023-02-13,2023-02-19,2023
"Vehicle patrols",271,2023-02-13,2023-02-19,2023
"Vehicle assistance responses",1,2023-02-13,2023-02-19,2023
"Welfare check responses",1,2023-02-13,2023-02-19,2023
"Alarm checks",4,2023-02-06,2023-02-12,2023
"Animal issue responses",0,2023-02-06,2023-02-12,2023
"AOD interactions",1,2023-02-06,2023-02-12,2023
"Building patrols",320,2023-02-06,2023-02-12,2023
"Candle/incense violation interactions",0,2023-02-06,2023-02-12,2023
"Community assistance responses",4,2023-02-06,2023-02-12,2023
"Escorts",4,2023-02-06,2023-02-12,2023
"Fire responses",0,2023-02-06,2023-02-12,2023
"Foot patrols",234,2023-02-06,2023-02-12,2023
"Held door checks",4,2023-02-06,2023-02-12,2023
"Maintenance issue responses",2,2023-02-06,2023-02-12,2023
"Medical assistance responses",3,2023-02-06,2023-02-12,2023
"Noise complaint responses",1,2023-02-06,2023-02-12,2023
"Suspicious circumstance responses",10,2023-02-06,2023-02-12,2023
"Theft reports taken",0,2023-02-06,2023-02-12,2023
"Unlocks",59,2023-02-06,2023-02-12,2023
"Vehicle patrols",283,2023-02-06,2023-02-12,2023
"Vehicle assistance responses",3,2023-02-06,2023-02-12,2023
"Welfare check responses",1,2023-02-06,2023-02-12,2023
"Alarm checks",17,2023-01-30,2023-02-05,2023
"Animal issue responses",0,2023-01-30,2023-02-05,2023
"AOD interactions",1,2023-01-30,2023-02-05,2023
"Building patrols",317,2023-01-30,2023-02-05,2023
"Candle/incense violation interactions",0,2023-01-30,2023-02-05,2023
"Community assistance responses",0,2023-01-30,2023-02-05,2023
"Escorts",1,2023-01-30,2023-02-05,2023
"Fire responses",0,2023-01-30,2023-02-05,2023
"Foot patrols",208,2023-01-30,2023-02-05,2023
"Held door checks",3,2023-01-30,2023-02-05,2023
"Maintenance issue responses",2,2023-01-30,2023-02-05,2023
"Medical assistance responses",2,2023-01-30,2023-02-05,2023
"Noise complaint responses",0,2023-01-30,2023-02-05,2023
"Suspicious circumstance responses",16,2023-01-30,2023-02-05,2023
"Theft reports taken",1,2023-01-30,2023-02-05,2023
"Unlocks",75,2023-01-30,2023-02-05,2023
"Vehicle patrols",284,2023-01-30,2023-02-05,2023
"Vehicle assistance responses",3,2023-01-30,2023-02-05,2023
"Welfare check responses",0,2023-01-30,2023-02-05,2023
"Alarm checks",6,2023-01-23,2023-01-29,2023
"Animal issue responses",0,2023-01-23,2023-01-29,2023
"AOD interactions",4,2023-01-23,2023-01-29,2023
"Building patrols",351,2023-01-23,2023-01-29,2023
"Candle/incense violation interactions",0,2023-01-23,2023-01-29,2023
"Community assistance responses",5,2023-01-23,2023-01-29,2023
"Escorts",3,2023-01-23,2023-01-29,2023
"Fire responses",0,2023-01-23,2023-01-29,2023
"Foot patrols",193,2023-01-23,2023-01-29,2023
"Held door checks",11,2023-01-23,2023-01-29,2023
"Maintenance issue responses",2,2023-01-23,2023-01-29,2023
"Medical assistance responses",1,2023-01-23,2023-01-29,2023
"Noise complaint responses",2,2023-01-23,2023-01-29,2023
"Suspicious circumstance responses",23,2023-01-23,2023-01-29,2023
"Theft reports taken",1,2023-01-23,2023-01-29,2023
"Unlocks",85,2023-01-23,2023-01-29,2023
"Vehicle patrols",307,2023-01-23,2023-01-29,2023
"Vehicle assistance responses",0,2023-01-23,2023-01-29,2023
"Welfare check responses",0,2023-01-23,2023-01-29,2023
"Alarm checks",17,2023-01-16,2023-01-22,2023
"Animal issue responses",0,2023-01-16,2023-01-22,2023
"AOD interactions",2,2023-01-16,2023-01-22,2023
"Building patrols",368,2023-01-16,2023-01-22,2023
"Candle/incense violation interactions",0,2023-01-16,2023-01-22,2023
"Community assistance responses",1,2023-01-16,2023-01-22,2023
"Escorts",4,2023-01-16,2023-01-22,2023
"Fire responses",0,2023-01-16,2023-01-22,2023
"Foot patrols",240,2023-01-16,2023-01-22,2023
"Held door checks",14,2023-01-16,2023-01-22,2023
"Maintenance issue responses",4,2023-01-16,2023-01-22,2023
"Medical assistance responses",1,2023-01-16,2023-01-22,2023
"Noise complaint responses",0,2023-01-16,2023-01-22,2023
"Suspicious circumstance responses",7,2023-01-16,2023-01-22,2023
"Theft reports taken",2,2023-01-16,2023-01-22,2023
"Unlocks",117,2023-01-16,2023-01-22,2023
"Vehicle patrols",280,2023-01-16,2023-01-22,2023
"Vehicle assistance responses",3,2023-01-16,2023-01-22,2023
"Welfare check responses",2,2023-01-16,2023-01-22,2023
"Alarm checks",5,2023-01-09,2023-01-15,2023
"Animal issue responses",0,2023-01-09,2023-01-15,2023
"AOD interactions",0,2023-01-09,2023-01-15,2023
"Building patrols",288,2023-01-09,2023-01-15,2023
"Candle/incense violation interactions",0,2023-01-09,2023-01-15,2023
"Community assistance responses",0,2023-01-09,2023-01-15,2023
"Escorts",3,2023-01-09,2023-01-15,2023
"Fire responses",0,2023-01-09,2023-01-15,2023
"Foot patrols",179,2023-01-09,2023-01-15,2023
"Held door checks",10,2023-01-09,2023-01-15,2023
"Maintenance issue responses",2,2023-01-09,2023-01-15,2023
"Medical assistance responses",1,2023-01-09,2023-01-15,2023
"Noise complaint responses",0,2023-01-09,2023-01-15,2023
"Suspicious circumstance responses",9,2023-01-09,2023-01-15,2023
"Theft reports taken",0,2023-01-09,2023-01-15,2023
"Unlocks",98,2023-01-09,2023-01-15,2023
"Vehicle patrols",266,2023-01-09,2023-01-15,2023
"Vehicle assistance responses",0,2023-01-09,2023-01-15,2023
"Welfare check responses",1,2023-01-09,2023-01-15,2023
"Alarm checks",13,2023-01-01,2023-01-08,2023
"Animal issue responses",1,2023-01-01,2023-01-08,2023
"AOD interactions",0,2023-01-01,2023-01-08,2023
"Building patrols",313,2023-01-01,2023-01-08,2023
"Candle/incense violation interactions",0,2023-01-01,2023-01-08,2023
"Community assistance responses",0,2023-01-01,2023-01-08,2023
"Escorts",3,2023-01-01,2023-01-08,2023
"Fire responses",0,2023-01-01,2023-01-08,2023
"Foot patrols",151,2023-01-01,2023-01-08,2023
"Held door checks",3,2023-01-01,2023-01-08,2023
"Maintenance issue responses",2,2023-01-01,2023-01-08,2023
"Medical assistance responses",1,2023-01-01,2023-01-08,2023
"Noise complaint responses",0,2023-01-01,2023-01-08,2023
"Suspicious circumstance responses",7,2023-01-01,2023-01-08,2023
"Theft reports taken",1,2023-01-01,2023-01-08,2023
"Unlocks",30,2023-01-01,2023-01-08,2023
"Vehicle patrols",259,2023-01-01,2023-01-08,2023
"Vehicle assistance responses",0,2023-01-01,2023-01-08,2023
"Welfare check responses",0,2023-01-01,2023-01-08,2023
"Alarm checks",2,2022-12-26,2022-12-31,2022
"Animal issue responses",0,2022-12-26,2022-12-31,2022
"AOD interactions",0,2022-12-26,2022-12-31,2022
"Building patrols",179,2022-12-26,2022-12-31,2022
"Candle/incense violation interactions",0,2022-12-26,2022-12-31,2022
"Community assistance responses",2,2022-12-26,2022-12-31,2022
"Escorts",0,2022-12-26,2022-12-31,2022
"Fire responses",0,2022-12-26,2022-12-31,2022
"Foot patrols",140,2022-12-26,2022-12-31,2022
"Held door checks",4,2022-12-26,2022-12-31,2022
"Maintenance issue responses",0,2022-12-26,2022-12-31,2022
"Medical assistance responses",0,2022-12-26,2022-12-31,2022
"Noise complaint responses",0,2022-12-26,2022-12-31,2022
"Suspicious circumstance responses",1,2022-12-26,2022-12-31,2022
"Theft reports taken",0,2022-12-26,2022-12-31,2022
"Unlocks",18,2022-12-26,2022-12-31,2022
"Vehicle patrols",178,2022-12-26,2022-12-31,2022
"Vehicle assistance responses",0,2022-12-26,2022-12-31,2022
"Welfare check responses",1,2022-12-26,2022-12-31,2022
"Alarm checks",18,2022-12-19,2022-12-25,2022
"Animal issue responses",0,2022-12-19,2022-12-25,2022
"AOD interactions",0,2022-12-19,2022-12-25,2022
"Building patrols",274,2022-12-19,2022-12-25,2022
"Candle/incense violation interactions",0,2022-12-19,2022-12-25,2022
"Community assistance responses",2,2022-12-19,2022-12-25,2022
"Escorts",3,2022-12-19,2022-12-25,2022
"Fire responses",0,2022-12-19,2022-12-25,2022
"Foot patrols",178,2022-12-19,2022-12-25,2022
"Held door checks",4,2022-12-19,2022-12-25,2022
"Maintenance issue responses",1,2022-12-19,2022-12-25,2022
"Medical assistance responses",0,2022-12-19,2022-12-25,2022
"Noise complaint responses",0,2022-12-19,2022-12-25,2022
"Suspicious circumstance responses",12,2022-12-19,2022-12-25,2022
"Theft reports taken",1,2022-12-19,2022-12-25,2022
"Unlocks",21,2022-12-19,2022-12-25,2022
"Vehicle patrols",247,2022-12-19,2022-12-25,2022
"Vehicle assistance responses",1,2022-12-19,2022-12-25,2022
"Welfare check responses",0,2022-12-19,2022-12-25,2022
"Alarm checks",14,2022-12-12,2022-12-18,2022
"Animal issue responses",0,2022-12-12,2022-12-18,2022
"AOD interactions",0,2022-12-12,2022-12-18,2022
"Building patrols",288,2022-12-12,2022-12-18,2022
"Candle/incense violation interactions",0,2022-12-12,2022-12-18,2022
"Community assistance responses",0,2022-12-12,2022-12-18,2022
"Escorts",3,2022-12-12,2022-12-18,2022
"Fire responses",0,2022-12-12,2022-12-18,2022
"Foot patrols",245,2022-12-12,2022-12-18,2022
"Held door checks",17,2022-12-12,2022-12-18,2022
"Maintenance issue responses",1,2022-12-12,2022-12-18,2022
"Medical assistance responses",1,2022-12-12,2022-12-18,2022
"Noise complaint responses",2,2022-12-12,2022-12-18,2022
"Suspicious circumstance responses",6,2022-12-12,2022-12-18,2022
"Theft reports taken",1,2022-12-12,2022-12-18,2022
"Unlocks",70,2022-12-12,2022-12-18,2022
"Vehicle patrols",213,2022-12-12,2022-12-18,2022
"Vehicle assistance responses",3,2022-12-12,2022-12-18,2022
"Welfare check responses",3,2022-12-12,2022-12-18,2022
"Alarm checks",15,2022-12-05,2022-12-11,2022
"Animal issue responses",0,2022-12-05,2022-12-11,2022
"AOD interactions",1,2022-12-05,2022-12-11,2022
"Building patrols",278,2022-12-05,2022-12-11,2022
"Candle/incense violation interactions",0,2022-12-05,2022-12-11,2022
"Community assistance responses",4,2022-12-05,2022-12-11,2022
"Escorts",4,2022-12-05,2022-12-11,2022
"Fire responses",0,2022-12-05,2022-12-11,2022
"Foot patrols",196,2022-12-05,2022-12-11,2022
"Held door checks",3,2022-12-05,2022-12-11,2022
"Maintenance issue responses",5,2022-12-05,2022-12-11,2022
"Medical assistance responses",3,2022-12-05,2022-12-11,2022
"Noise complaint responses",4,2022-12-05,2022-12-11,2022
"Suspicious circumstance responses",12,2022-12-05,2022-12-11,2022
"Theft reports taken",0,2022-12-05,2022-12-11,2022
"Unlocks",66,2022-12-05,2022-12-11,2022
"Vehicle patrols",268,2022-12-05,2022-12-11,2022
"Vehicle assistance responses",6,2022-12-05,2022-12-11,2022
"Welfare check responses",0,2022-12-05,2022-12-11,2022
"Alarm checks",14,2022-11-21,2022-11-27,2022
"Animal issue responses",0,2022-11-21,2022-11-27,2022
"AOD interactions",1,2022-11-21,2022-11-27,2022
"Building patrols",209,2022-11-21,2022-11-27,2022
"Candle/incense violation interactions",0,2022-11-21,2022-11-27,2022
"Community assistance responses",0,2022-11-21,2022-11-27,2022
"Escorts",2,2022-11-21,2022-11-27,2022
"Fire responses",0,2022-11-21,2022-11-27,2022
"Foot patrols",202,2022-11-21,2022-11-27,2022
"Held door checks",9,2022-11-21,2022-11-27,2022
"Maintenance issue responses",3,2022-11-21,2022-11-27,2022
"Medical assistance responses",1,2022-11-21,2022-11-27,2022
"Noise complaint responses",2,2022-11-21,2022-11-27,2022
"Suspicious circumstance responses",18,2022-11-21,2022-11-27,2022
"Theft reports taken",0,2022-11-21,2022-11-27,2022
"Unlocks",58,2022-11-21,2022-11-27,2022
"Vehicle patrols",263,2022-11-21,2022-11-27,2022
"Vehicle assistance responses",3,2022-11-21,2022-11-27,2022
"Welfare check responses",0,2022-11-21,2022-11-27,2022
"Alarm checks",10,2022-11-14,2022-11-20,2022
"Animal issue responses",1,2022-11-14,2022-11-20,2022
"AOD interactions",2,2022-11-14,2022-11-20,2022
"Building patrols",178,2022-11-14,2022-11-20,2022
"Candle/incense violation interactions",0,2022-11-14,2022-11-20,2022
"Community assistance responses",1,2022-11-14,2022-11-20,2022
"Escorts",0,2022-11-14,2022-11-20,2022
"Fire responses",0,2022-11-14,2022-11-20,2022
"Foot patrols",190,2022-11-14,2022-11-20,2022
"Held door checks",13,2022-11-14,2022-11-20,2022
"Maintenance issue responses",2,2022-11-14,2022-11-20,2022
"Medical assistance responses",0,2022-11-14,2022-11-20,2022
"Noise complaint responses",0,2022-11-14,2022-11-20,2022
"Suspicious circumstance responses",13,2022-11-14,2022-11-20,2022
"Theft reports taken",3,2022-11-14,2022-11-20,2022
"Unlocks",81,2022-11-14,2022-11-20,2022
"Vehicle patrols",235,2022-11-14,2022-11-20,2022
"Vehicle assistance responses",4,2022-11-14,2022-11-20,2022
"Welfare check responses",1,2022-11-14,2022-11-20,2022
"Alarm checks",15,2022-11-07,2022-11-13,2022
"Animal issue responses",0,2022-11-07,2022-11-13,2022
"AOD interactions",1,2022-11-07,2022-11-13,2022
"Building patrols",179,2022-11-07,2022-11-13,2022
"Candle/incense violation interactions",0,2022-11-07,2022-11-13,2022
"Community assistance responses",3,2022-11-07,2022-11-13,2022
"Escorts",5,2022-11-07,2022-11-13,2022
"Fire responses",1,2022-11-07,2022-11-13,2022
"Foot patrols",168,2022-11-07,2022-11-13,2022
"Held door checks",14,2022-11-07,2022-11-13,2022
"Maintenance issue responses",4,2022-11-07,2022-11-13,2022
"Medical assistance responses",1,2022-11-07,2022-11-13,2022
"Noise complaint responses",0,2022-11-07,2022-11-13,2022
"Suspicious circumstance responses",3,2022-11-07,2022-11-13,2022
"Theft reports taken",2,2022-11-07,2022-11-13,2022
"Unlocks",81,2022-11-07,2022-11-13,2022
"Vehicle patrols",213,2022-11-07,2022-11-13,2022
"Vehicle assistance responses",1,2022-11-07,2022-11-13,2022
"Welfare check responses",1,2022-11-07,2022-11-13,2022
"Alarm checks",7,2022-10-31,2022-11-06,2022
"Animal issue responses",0,2022-10-31,2022-11-06,2022
"AOD interactions",3,2022-10-31,2022-11-06,2022
"Building patrols",140,2022-10-31,2022-11-06,2022
"Candle/incense violation interactions",0,2022-10-31,2022-11-06,2022
"Community assistance responses",4,2022-10-31,2022-11-06,2022
"Escorts",2,2022-10-31,2022-11-06,2022
"Fire responses",0,2022-10-31,2022-11-06,2022
"Foot patrols",168,2022-10-31,2022-11-06,2022
"Held door checks",20,2022-10-31,2022-11-06,2022
"Maintenance issue responses",1,2022-10-31,2022-11-06,2022
"Medical assistance responses",2,2022-10-31,2022-11-06,2022
"Noise complaint responses",1,2022-10-31,2022-11-06,2022
"Suspicious circumstance responses",20,2022-10-31,2022-11-06,2022
"Theft reports taken",2,2022-10-31,2022-11-06,2022
"Unlocks",68,2022-10-31,2022-11-06,2022
"Vehicle patrols",191,2022-10-31,2022-11-06,2022
"Vehicle assistance responses",2,2022-10-31,2022-11-06,2022
"Welfare check responses",2,2022-10-31,2022-11-06,2022
"Alarm checks",9,2022-10-24,2022-10-30,2022
"Animal issue responses",0,2022-10-24,2022-10-30,2022
"AOD interactions",1,2022-10-24,2022-10-30,2022
"Building patrols",166,2022-10-24,2022-10-30,2022
"Candle/incense violation interactions",0,2022-10-24,2022-10-30,2022
"Community assistance responses",2,2022-10-24,2022-10-30,2022
"Escorts",5,2022-10-24,2022-10-30,2022
"Fire responses",0,2022-10-24,2022-10-30,2022
"Foot patrols",177,2022-10-24,2022-10-30,2022
"Held door checks",12,2022-10-24,2022-10-30,2022
"Maintenance issue responses",0,2022-10-24,2022-10-30,2022
"Medical assistance responses",3,2022-10-24,2022-10-30,2022
"Noise complaint responses",3,2022-10-24,2022-10-30,2022
"Suspicious circumstance responses",3,2022-10-24,2022-10-30,2022
"Theft reports taken",4,2022-10-24,2022-10-30,2022
"Unlocks",108,2022-10-24,2022-10-30,2022
"Vehicle patrols",223,2022-10-24,2022-10-30,2022
"Vehicle assistance responses",1,2022-10-24,2022-10-30,2022
"Welfare check responses",2,2022-10-24,2022-10-30,2022
"Alarm checks",7,2022-10-17,2022-10-23,2022
"Animal issue responses",1,2022-10-17,2022-10-23,2022
"AOD interactions",2,2022-10-17,2022-10-23,2022
"Building patrols",136,2022-10-17,2022-10-23,2022
"Candle/incense violation interactions",0,2022-10-17,2022-10-23,2022
"Community assistance responses",1,2022-10-17,2022-10-23,2022
"Escorts",0,2022-10-17,2022-10-23,2022
"Fire responses",0,2022-10-17,2022-10-23,2022
"Foot patrols",212,2022-10-17,2022-10-23,2022
"Held door checks",6,2022-10-17,2022-10-23,2022
"Maintenance issue responses",0,2022-10-17,2022-10-23,2022
