"Type","Incidents","startDate","endDate","Year"
"Medical assistance responses",0,2022-10-17,2022-10-23,2022
"Noise complaint responses",1,2022-10-17,2022-10-23,2022
"Suspicious circumstance responses",4,2022-10-17,2022-10-23,2022
"Theft reports taken",0,2022-10-17,2022-10-23,2022
"Unlocks",67,2022-10-17,2022-10-23,2022
"Vehicle patrols",221,2022-10-17,2022-10-23,2022
"Vehicle assistance responses",0,2022-10-17,2022-10-23,2022
"Welfare check responses",1,2022-10-17,2022-10-23,2022
"Alarm checks",4,2022-10-10,2022-10-16,2022
"Animal issue responses",0,2022-10-10,2022-10-16,2022
"AOD interactions",1,2022-10-10,2022-10-16,2022
"Building patrols",254,2022-10-10,2022-10-16,2022
"Candle/incense violation interactions",1,2022-10-10,2022-10-16,2022
"Community assistance responses",4,2022-10-10,2022-10-16,2022
"Escorts",3,2022-10-10,2022-10-16,2022
"Fire responses",0,2022-10-10,2022-10-16,2022
"Foot patrols",318,2022-10-10,2022-10-16,2022
"Held door checks",14,2022-10-10,2022-10-16,2022
"Maintenance issue responses",0,2022-10-10,2022-10-16,2022
"Medical assistance responses",2,2022-10-10,2022-10-16,2022
"Noise complaint responses",0,2022-10-10,2022-10-16,2022
"Suspicious circumstance responses",7,2022-10-10,2022-10-16,2022
"Theft reports taken",2,2022-10-10,2022-10-16,2022
"Unlocks",78,2022-10-10,2022-10-16,2022
"Vehicle patrols",170,2022-10-10,2022-10-16,2022
"Vehicle assistance responses",0,2022-10-10,2022-10-16,2022
"Welfare check responses",0,2022-10-10,2022-10-16,2022
"Alarm checks",7,2022-10-03,2022-10-09,2022
"Animal issue responses",0,2022-10-03,2022-10-09,2022
"AOD interactions",1,2022-10-03,2022-10-09,2022
"Building patrols",195,2022-10-03,2022-10-09,2022
"Candle/incense violation interactions",1,2022-10-03,2022-10-09,2022
"Community assistance responses",1,2022-10-03,2022-10-09,2022
"Escorts",10,2022-10-03,2022-10-09,2022
"Fire responses",1,2022-10-03,2022-10-09,2022
"Foot patrols",326,2022-10-03,2022-10-09,2022
"Held door checks",16,2022-10-03,2022-10-09,2022
"Maintenance issue responses",0,2022-10-03,2022-10-09,2022
"Medical assistance responses",2,2022-10-03,2022-10-09,2022
"Noise complaint responses",3,2022-10-03,2022-10-09,2022
"Suspicious circumstance responses",17,2022-10-03,2022-10-09,2022
"Theft reports taken",1,2022-10-03,2022-10-09,2022
"Unlocks",85,2022-10-03,2022-10-09,2022
"Vehicle patrols",163,2022-10-03,2022-10-09,2022
"Vehicle assistance responses",1,2022-10-03,2022-10-09,2022
"Welfare check responses",1,2022-10-03,2022-10-09,2022
"Alarm checks",5,2022-09-26,2022-10-02,2022
"Animal issue responses",0,2022-09-26,2022-10-02,2022
"AOD interactions",1,2022-09-26,2022-10-02,2022
"Building patrols",200,2022-09-26,2022-10-02,2022
"Candle/incense violation interactions",0,2022-09-26,2022-10-02,2022
"Community assistance responses",1,2022-09-26,2022-10-02,2022
"Escorts",2,2022-09-26,2022-10-02,2022
"Fire responses",0,2022-09-26,2022-10-02,2022
"Foot patrols",260,2022-09-26,2022-10-02,2022
"Held door checks",3,2022-09-26,2022-10-02,2022
"Maintenance issue responses",1,2022-09-26,2022-10-02,2022
"Medical assistance responses",6,2022-09-26,2022-10-02,2022
"Noise complaint responses",2,2022-09-26,2022-10-02,2022
"Suspicious circumstance responses",5,2022-09-26,2022-10-02,2022
"Theft reports taken",4,2022-09-26,2022-10-02,2022
"Unlocks",78,2022-09-26,2022-10-02,2022
"Vehicle patrols",130,2022-09-26,2022-10-02,2022
"Vehicle assistance responses",1,2022-09-26,2022-10-02,2022
"Welfare check responses",3,2022-09-26,2022-10-02,2022
"Alarm checks",8,2022-09-19,2022-09-25,2022
"Animal issue responses",0,2022-09-19,2022-09-25,2022
"AOD interactions",1,2022-09-19,2022-09-25,2022
"Building patrols",192,2022-09-19,2022-09-25,2022
"Candle/incense violation interactions",0,2022-09-19,2022-09-25,2022
"Community assistance responses",3,2022-09-19,2022-09-25,2022
"Escorts",4,2022-09-19,2022-09-25,2022
"Fire responses",0,2022-09-19,2022-09-25,2022
"Foot patrols",190,2022-09-19,2022-09-25,2022
"Held door checks",11,2022-09-19,2022-09-25,2022
"Maintenance issue responses",2,2022-09-19,2022-09-25,2022
"Medical assistance responses",4,2022-09-19,2022-09-25,2022
"Noise complaint responses",1,2022-09-19,2022-09-25,2022
"Suspicious circumstance responses",6,2022-09-19,2022-09-25,2022
"Theft reports taken",3,2022-09-19,2022-09-25,2022
"Unlocks",100,2022-09-19,2022-09-25,2022
"Vehicle patrols",184,2022-09-19,2022-09-25,2022
"Vehicle assistance responses",1,2022-09-19,2022-09-25,2022
"Welfare check responses",0,2022-09-19,2022-09-25,2022
"Alarm checks",10,2022-09-12,2022-09-18,2022
"Animal issue responses",0,2022-09-12,2022-09-18,2022
"AOD interactions",3,2022-09-12,2022-09-18,2022
"Building patrols",171,2022-09-12,2022-09-18,2022
"Candle/incense violation interactions",0,2022-09-12,2022-09-18,2022
"Community assistance responses",5,2022-09-12,2022-09-18,2022
"Escorts",5,2022-09-12,2022-09-18,2022
"Fire responses",0,2022-09-12,2022-09-18,2022
"Foot patrols",255,2022-09-12,2022-09-18,2022
"Held door checks",16,2022-09-12,2022-09-18,2022
"Maintenance issue responses",4,2022-09-12,2022-09-18,2022
"Medical assistance responses",1,2022-09-12,2022-09-18,2022
"Noise complaint responses",0,2022-09-12,2022-09-18,2022
"Suspicious circumstance responses",18,2022-09-12,2022-09-18,2022
"Theft reports taken",2,2022-09-12,2022-09-18,2022
"Unlocks",76,2022-09-12,2022-09-18,2022
"Vehicle patrols",230,2022-09-12,2022-09-18,2022
"Vehicle assistance responses",0,2022-09-12,2022-09-18,2022
"Welfare check responses",0,2022-09-12,2022-09-18,2022
"Alarm checks",10,2022-09-05,2022-09-11,2022
"Animal issue responses",0,2022-09-05,2022-09-11,2022
"AOD interactions",2,2022-09-05,2022-09-11,2022
"Building patrols",144,2022-09-05,2022-09-11,2022
"Candle/incense violation interactions",0,2022-09-05,2022-09-11,2022
"Community assistance responses",2,2022-09-05,2022-09-11,2022
"Escorts",2,2022-09-05,2022-09-11,2022
"Fire responses",0,2022-09-05,2022-09-11,2022
"Foot patrols",170,2022-09-05,2022-09-11,2022
"Held door checks",13,2022-09-05,2022-09-11,2022
"Maintenance issue responses",1,2022-09-05,2022-09-11,2022
"Medical assistance responses",6,2022-09-05,2022-09-11,2022
"Noise complaint responses",0,2022-09-05,2022-09-11,2022
"Suspicious circumstance responses",6,2022-09-05,2022-09-11,2022
"Theft reports taken",0,2022-09-05,2022-09-11,2022
"Unlocks",119,2022-09-05,2022-09-11,2022
"Vehicle patrols",209,2022-09-05,2022-09-11,2022
"Vehicle assistance responses",2,2022-09-05,2022-09-11,2022
"Welfare check responses",2,2022-09-05,2022-09-11,2022
"Alarm checks",3,2022-08-29,2022-09-04,2022
"Animal issue responses",0,2022-08-29,2022-09-04,2022
"AOD interactions",0,2022-08-29,2022-09-04,2022
"Building patrols",124,2022-08-29,2022-09-04,2022
"Candle/incense violation interactions",0,2022-08-29,2022-09-04,2022
"Community assistance responses",8,2022-08-29,2022-09-04,2022
"Escorts",5,2022-08-29,2022-09-04,2022
"Fire responses",0,2022-08-29,2022-09-04,2022
"Foot patrols",204,2022-08-29,2022-09-04,2022
"Held door checks",10,2022-08-29,2022-09-04,2022
"Maintenance issue responses",0,2022-08-29,2022-09-04,2022
"Medical assistance responses",7,2022-08-29,2022-09-04,2022
"Noise complaint responses",1,2022-08-29,2022-09-04,2022
"Suspicious circumstance responses",12,2022-08-29,2022-09-04,2022
"Theft reports taken",0,2022-08-29,2022-09-04,2022
"Unlocks",121,2022-08-29,2022-09-04,2022
"Vehicle patrols",194,2022-08-29,2022-09-04,2022
"Vehicle assistance responses",2,2022-08-29,2022-09-04,2022
"Welfare check responses",3,2022-08-29,2022-09-04,2022
"Alarm checks",10,2022-08-22,2022-08-28,2022
"Animal issue responses",1,2022-08-22,2022-08-28,2022
"AOD interactions",4,2022-08-22,2022-08-28,2022
"Building patrols",193,2022-08-22,2022-08-28,2022
"Candle/incense violation interactions",0,2022-08-22,2022-08-28,2022
"Community assistance responses",3,2022-08-22,2022-08-28,2022
"Escorts",8,2022-08-22,2022-08-28,2022
"Fire responses",0,2022-08-22,2022-08-28,2022
"Foot patrols",372,2022-08-22,2022-08-28,2022
"Held door checks",14,2022-08-22,2022-08-28,2022
"Maintenance issue responses",2,2022-08-22,2022-08-28,2022
"Medical assistance responses",8,2022-08-22,2022-08-28,2022
"Noise complaint responses",3,2022-08-22,2022-08-28,2022
"Suspicious circumstance responses",16,2022-08-22,2022-08-28,2022
"Theft reports taken",3,2022-08-22,2022-08-28,2022
"Unlocks",178,2022-08-22,2022-08-28,2022
"Vehicle patrols",247,2022-08-22,2022-08-28,2022
"Vehicle assistance responses",2,2022-08-22,2022-08-28,2022
"Welfare check responses",1,2022-08-22,2022-08-28,2022
"Alarm checks",4,2022-08-15,2022-08-21,2022
"Animal issue responses",0,2022-08-15,2022-08-21,2022
"AOD interactions",1,2022-08-15,2022-08-21,2022
"Building patrols",175,2022-08-15,2022-08-21,2022
"Candle/incense violation interactions",0,2022-08-15,2022-08-21,2022
"Community assistance responses",3,2022-08-15,2022-08-21,2022
"Escorts",6,2022-08-15,2022-08-21,2022
"Fire responses",0,2022-08-15,2022-08-21,2022
"Foot patrols",241,2022-08-15,2022-08-21,2022
"Held door checks",8,2022-08-15,2022-08-21,2022
"Maintenance issue responses",2,2022-08-15,2022-08-21,2022
"Medical assistance responses",2,2022-08-15,2022-08-21,2022
"Noise complaint responses",0,2022-08-15,2022-08-21,2022
"Suspicious circumstance responses",5,2022-08-15,2022-08-21,2022
"Theft reports taken",3,2022-08-15,2022-08-21,2022
"Unlocks",49,2022-08-15,2022-08-21,2022
"Vehicle patrols",198,2022-08-15,2022-08-21,2022
"Vehicle assistance responses",1,2022-08-15,2022-08-21,2022
"Welfare check responses",0,2022-08-15,2022-08-21,2022
"Alarm checks",10,2022-08-08,2022-08-14,2022
"Animal issue responses",0,2022-08-08,2022-08-14,2022
"AOD interactions",2,2022-08-08,2022-08-14,2022
"Building patrols",136,2022-08-08,2022-08-14,2022
"Candle/incense violation interactions",0,2022-08-08,2022-08-14,2022
"Community assistance responses",0,2022-08-08,2022-08-14,2022
"Escorts",0,2022-08-08,2022-08-14,2022
"Fire responses",0,2022-08-08,2022-08-14,2022
"Foot patrols",243,2022-08-08,2022-08-14,2022
"Held door checks",8,2022-08-08,2022-08-14,2022
"Maintenance issue responses",2,2022-08-08,2022-08-14,2022
"Medical assistance responses",0,2022-08-08,2022-08-14,2022
"Noise complaint responses",0,2022-08-08,2022-08-14,2022
"Suspicious circumstance responses",9,2022-08-08,2022-08-14,2022
"Theft reports taken",0,2022-08-08,2022-08-14,2022
"Unlocks",64,2022-08-08,2022-08-14,2022
"Vehicle patrols",183,2022-08-08,2022-08-14,2022
"Vehicle assistance responses",1,2022-08-08,2022-08-14,2022
"Welfare check responses",0,2022-08-08,2022-08-14,2022
"Alarm checks",3,2022-08-01,2022-08-07,2022
"Animal issue responses",0,2022-08-01,2022-08-07,2022
"AOD interactions",0,2022-08-01,2022-08-07,2022
"Building patrols",92,2022-08-01,2022-08-07,2022
"Candle/incense violation interactions",0,2022-08-01,2022-08-07,2022
"Community assistance responses",0,2022-08-01,2022-08-07,2022
"Escorts",1,2022-08-01,2022-08-07,2022
"Fire responses",0,2022-08-01,2022-08-07,2022
"Foot patrols",209,2022-08-01,2022-08-07,2022
"Held door checks",11,2022-08-01,2022-08-07,2022
"Maintenance issue responses",1,2022-08-01,2022-08-07,2022
"Medical assistance responses",0,2022-08-01,2022-08-07,2022
"Noise complaint responses",0,2022-08-01,2022-08-07,2022
"Suspicious circumstance responses",10,2022-08-01,2022-08-07,2022
"Theft reports taken",2,2022-08-01,2022-08-07,2022
"Unlocks",59,2022-08-01,2022-08-07,2022
"Vehicle patrols",174,2022-08-01,2022-08-07,2022
"Vehicle assistance responses",1,2022-08-01,2022-08-07,2022
"Welfare check responses",0,2022-08-01,2022-08-07,2022
"Alarm checks",6,2022-07-25,2022-07-31,2022
"Animal issue responses",0,2022-07-25,2022-07-31,2022
"AOD interactions",1,2022-07-25,2022-07-31,2022
"Building patrols",153,2022-07-25,2022-07-31,2022
"Candle/incense violation interactions",0,2022-07-25,2022-07-31,2022
"Community assistance responses",1,2022-07-25,2022-07-31,2022
"Escorts",0,2022-07-25,2022-07-31,2022
"Fire responses",0,2022-07-25,2022-07-31,2022
"Foot patrols",215,2022-07-25,2022-07-31,2022
"Held door checks",1,2022-07-25,2022-07-31,2022
"Maintenance issue responses",0,2022-07-25,2022-07-31,2022
"Medical assistance responses",0,2022-07-25,2022-07-31,2022
"Noise complaint responses",0,2022-07-25,2022-07-31,2022
"Suspicious circumstance responses",16,2022-07-25,2022-07-31,2022
"Theft reports taken",2,2022-07-25,2022-07-31,2022
"Unlocks",30,2022-07-25,2022-07-31,2022
"Vehicle patrols",188,2022-07-25,2022-07-31,2022
"Vehicle assistance responses",1,2022-07-25,2022-07-31,2022
"Welfare check responses",0,2022-07-25,2022-07-31,2022
"Alarm checks",5,2022-07-18,2022-07-24,2022
"Animal issue responses",0,2022-07-18,2022-07-24,2022
"AOD interactions",1,2022-07-18,2022-07-24,2022
"Building patrols",134,2022-07-18,2022-07-24,2022
"Candle/incense violation interactions",0,2022-07-18,2022-07-24,2022
"Community assistance responses",1,2022-07-18,2022-07-24,2022
"Escorts",1,2022-07-18,2022-07-24,2022
"Fire responses",0,2022-07-18,2022-07-24,2022
"Foot patrols",201,2022-07-18,2022-07-24,2022
"Held door checks",2,2022-07-18,2022-07-24,2022
"Maintenance issue responses",3,2022-07-18,2022-07-24,2022
"Medical assistance responses",2,2022-07-18,2022-07-24,2022
"Noise complaint responses",0,2022-07-18,2022-07-24,2022
"Suspicious circumstance responses",18,2022-07-18,2022-07-24,2022
"Theft reports taken",2,2022-07-18,2022-07-24,2022
"Unlocks",16,2022-07-18,2022-07-24,2022
"Vehicle patrols",2,2022-07-18,2022-07-24,2022
"Vehicle assistance responses",1,2022-07-18,2022-07-24,2022
"Welfare check responses",2,2022-07-18,2022-07-24,2022
"Alarm checks",8,2022-07-11,2022-07-17,2022
"Animal issue responses",0,2022-07-11,2022-07-17,2022
"AOD interactions",3,2022-07-11,2022-07-17,2022
"Building patrols",145,2022-07-11,2022-07-17,2022
"Candle/incense violation interactions",0,2022-07-11,2022-07-17,2022
"Community assistance responses",3,2022-07-11,2022-07-17,2022
"Escorts",1,2022-07-11,2022-07-17,2022
"Fire responses",0,2022-07-11,2022-07-17,2022
"Foot patrols",265,2022-07-11,2022-07-17,2022
"Held door checks",14,2022-07-11,2022-07-17,2022
"Maintenance issue responses",6,2022-07-11,2022-07-17,2022
"Medical assistance responses",2,2022-07-11,2022-07-17,2022
"Noise complaint responses",0,2022-07-11,2022-07-17,2022
"Suspicious circumstance responses",12,2022-07-11,2022-07-17,2022
"Theft reports taken",0,2022-07-11,2022-07-17,2022
"Unlocks",56,2022-07-11,2022-07-17,2022
"Vehicle patrols",185,2022-07-11,2022-07-17,2022
"Vehicle assistance responses",0,2022-07-11,2022-07-17,2022
"Welfare check responses",0,2022-07-11,2022-07-17,2022
"Alarm checks",7,2022-07-04,2022-07-10,2022
"Animal issue responses",0,2022-07-04,2022-07-10,2022
"AOD interactions",0,2022-07-04,2022-07-10,2022
"Building patrols",169,2022-07-04,2022-07-10,2022
"Candle/incense violation interactions",0,2022-07-04,2022-07-10,2022
"Community assistance responses",0,2022-07-04,2022-07-10,2022
"Escorts",4,2022-07-04,2022-07-10,2022
"Fire responses",0,2022-07-04,2022-07-10,2022
"Foot patrols",308,2022-07-04,2022-07-10,2022
"Held door checks",7,2022-07-04,2022-07-10,2022
"Maintenance issue responses",0,2022-07-04,2022-07-10,2022
"Medical assistance responses",0,2022-07-04,2022-07-10,2022
"Noise complaint responses",0,2022-07-04,2022-07-10,2022
"Suspicious circumstance responses",11,2022-07-04,2022-07-10,2022
"Theft reports taken",0,2022-07-04,2022-07-10,2022
"Unlocks",50,2022-07-04,2022-07-10,2022
"Vehicle patrols",248,2022-07-04,2022-07-10,2022
"Vehicle assistance responses",0,2022-07-04,2022-07-10,2022
"Welfare check responses",0,2022-07-04,2022-07-10,2022
"Alarm checks",6,2022-06-27,2022-07-03,2022
"Animal issue responses",0,2022-06-27,2022-07-03,2022
"AOD interactions",0,2022-06-27,2022-07-03,2022
"Building patrols",142,2022-06-27,2022-07-03,2022
"Candle/incense violation interactions",0,2022-06-27,2022-07-03,2022
"Community assistance responses",0,2022-06-27,2022-07-03,2022
"Escorts",0,2022-06-27,2022-07-03,2022
"Fire responses",0,2022-06-27,2022-07-03,2022
"Foot patrols",225,2022-06-27,2022-07-03,2022
"Held door checks",4,2022-06-27,2022-07-03,2022
"Maintenance issue responses",0,2022-06-27,2022-07-03,2022
"Medical assistance responses",0,2022-06-27,2022-07-03,2022
"Noise complaint responses",1,2022-06-27,2022-07-03,2022
"Suspicious circumstance responses",9,2022-06-27,2022-07-03,2022
"Theft reports taken",0,2022-06-27,2022-07-03,2022
"Unlocks",49,2022-06-27,2022-07-03,2022
"Vehicle patrols",191,2022-06-27,2022-07-03,2022
"Vehicle assistance responses",0,2022-06-27,2022-07-03,2022
"Welfare check responses",0,2022-06-27,2022-07-03,2022
"Alarm checks",5,2022-06-20,2022-06-26,2022
"Animal issue responses",0,2022-06-20,2022-06-26,2022
"AOD interactions",0,2022-06-20,2022-06-26,2022
"Building patrols",132,2022-06-20,2022-06-26,2022
"Candle/incense violation interactions",0,2022-06-20,2022-06-26,2022
"Community assistance responses",2,2022-06-20,2022-06-26,2022
"Escorts",0,2022-06-20,2022-06-26,2022
"Fire responses",0,2022-06-20,2022-06-26,2022
"Foot patrols",259,2022-06-20,2022-06-26,2022
"Held door checks",11,2022-06-20,2022-06-26,2022
"Maintenance issue responses",0,2022-06-20,2022-06-26,2022
"Medical assistance responses",0,2022-06-20,2022-06-26,2022
"Noise complaint responses",0,2022-06-20,2022-06-26,2022
"Suspicious circumstance responses",5,2022-06-20,2022-06-26,2022
"Theft reports taken",0,2022-06-20,2022-06-26,2022
"Unlocks",37,2022-06-20,2022-06-26,2022
"Vehicle patrols",200,2022-06-20,2022-06-26,2022
"Vehicle assistance responses",1,2022-06-20,2022-06-26,2022
"Welfare check responses",0,2022-06-20,2022-06-26,2022
"Alarm checks",7,2022-06-13,2022-06-19,2022
"Animal issue responses",0,2022-06-13,2022-06-19,2022
"AOD interactions",0,2022-06-13,2022-06-19,2022
"Building patrols",152,2022-06-13,2022-06-19,2022
"Candle/incense violation interactions",0,2022-06-13,2022-06-19,2022
"Community assistance responses",0,2022-06-13,2022-06-19,2022
"Escorts",1,2022-06-13,2022-06-19,2022
"Fire responses",0,2022-06-13,2022-06-19,2022
"Foot patrols",256,2022-06-13,2022-06-19,2022
"Held door checks",3,2022-06-13,2022-06-19,2022
"Maintenance issue responses",2,2022-06-13,2022-06-19,2022
"Medical assistance responses",0,2022-06-13,2022-06-19,2022
"Noise complaint responses",0,2022-06-13,2022-06-19,2022
"Suspicious circumstance responses",5,2022-06-13,2022-06-19,2022
"Theft reports taken",3,2022-06-13,2022-06-19,2022
"Unlocks",20,2022-06-13,2022-06-19,2022
"Vehicle patrols",152,2022-06-13,2022-06-19,2022
"Vehicle assistance responses",0,2022-06-13,2022-06-19,2022
"Welfare check responses",0,2022-06-13,2022-06-19,2022
"Alarm checks",6,2022-06-06,2022-06-12,2022
"Animal issue responses",0,2022-06-06,2022-06-12,2022
"AOD interactions",0,2022-06-06,2022-06-12,2022
"Building patrols",184,2022-06-06,2022-06-12,2022
"Candle/incense violation interactions",0,2022-06-06,2022-06-12,2022
"Community assistance responses",0,2022-06-06,2022-06-12,2022
"Escorts",5,2022-06-06,2022-06-12,2022
"Fire responses",1,2022-06-06,2022-06-12,2022
"Foot patrols",282,2022-06-06,2022-06-12,2022
"Held door checks",9,2022-06-06,2022-06-12,2022
"Maintenance issue responses",2,2022-06-06,2022-06-12,2022
"Medical assistance responses",0,2022-06-06,2022-06-12,2022
"Noise complaint responses",1,2022-06-06,2022-06-12,2022
"Suspicious circumstance responses",18,2022-06-06,2022-06-12,2022
"Theft reports taken",0,2022-06-06,2022-06-12,2022
"Unlocks",59,2022-06-06,2022-06-12,2022
"Vehicle patrols",205,2022-06-06,2022-06-12,2022
"Vehicle assistance responses",3,2022-06-06,2022-06-12,2022
"Welfare check responses",0,2022-06-06,2022-06-12,2022
"Alarm checks",8,2022-05-30,2022-06-05,2022
"Animal issue responses",0,2022-05-30,2022-06-05,2022
"AOD interactions",0,2022-05-30,2022-06-05,2022
"Building patrols",219,2022-05-30,2022-06-05,2022
"Candle/incense violation interactions",0,2022-05-30,2022-06-05,2022
"Community assistance responses",1,2022-05-30,2022-06-05,2022
"Escorts",1,2022-05-30,2022-06-05,2022
"Fire responses",0,2022-05-30,2022-06-05,2022
"Foot patrols",237,2022-05-30,2022-06-05,2022
"Held door checks",2,2022-05-30,2022-06-05,2022
"Maintenance issue responses",0,2022-05-30,2022-06-05,2022
"Medical assistance responses",0,2022-05-30,2022-06-05,2022
"Noise complaint responses",0,2022-05-30,2022-06-05,2022
"Suspicious circumstance responses",14,2022-05-30,2022-06-05,2022
"Theft reports taken",0,2022-05-30,2022-06-05,2022
"Unlocks",22,2022-05-30,2022-06-05,2022
"Vehicle patrols",150,2022-05-30,2022-06-05,2022
"Vehicle assistance responses",2,2022-05-30,2022-06-05,2022
"Welfare check responses",1,2022-05-30,2022-06-05,2022
"Alarm checks",6,2022-05-23,2022-05-29,2022
"Animal issue responses",0,2022-05-23,2022-05-29,2022
"AOD interactions",1,2022-05-23,2022-05-29,2022
"Building patrols",192,2022-05-23,2022-05-29,2022
"Candle/incense violation interactions",0,2022-05-23,2022-05-29,2022
"Community assistance responses",2,2022-05-23,2022-05-29,2022
"Escorts",0,2022-05-23,2022-05-29,2022
"Fire responses",0,2022-05-23,2022-05-29,2022
"Foot patrols",260,2022-05-23,2022-05-29,2022
"Held door checks",3,2022-05-23,2022-05-29,2022
"Maintenance issue responses",0,2022-05-23,2022-05-29,2022
"Medical assistance responses",0,2022-05-23,2022-05-29,2022
"Noise complaint responses",1,2022-05-23,2022-05-29,2022
"Suspicious circumstance responses",19,2022-05-23,2022-05-29,2022
"Theft reports taken",1,2022-05-23,2022-05-29,2022
"Unlocks",24,2022-05-23,2022-05-29,2022
"Vehicle patrols",175,2022-05-23,2022-05-29,2022
"Vehicle assistance responses",0,2022-05-23,2022-05-29,2022
"Welfare check responses",0,2022-05-23,2022-05-29,2022
"Alarm checks",5,2022-05-16,2022-05-22,2022
"Animal issue responses",0,2022-05-16,2022-05-22,2022
"AOD interactions",3,2022-05-16,2022-05-22,2022
"Building patrols",209,2022-05-16,2022-05-22,2022
"Candle/incense violation interactions",0,2022-05-16,2022-05-22,2022
"Community assistance responses",5,2022-05-16,2022-05-22,2022
"Escorts",3,2022-05-16,2022-05-22,2022
"Fire responses",0,2022-05-16,2022-05-22,2022
"Foot patrols",313,2022-05-16,2022-05-22,2022
"Held door checks",5,2022-05-16,2022-05-22,2022
"Maintenance issue responses",3,2022-05-16,2022-05-22,2022
"Medical assistance responses",1,2022-05-16,2022-05-22,2022
"Noise complaint responses",0,2022-05-16,2022-05-22,2022
"Suspicious circumstance responses",16,2022-05-16,2022-05-22,2022
"Theft reports taken",1,2022-05-16,2022-05-22,2022
"Unlocks",47,2022-05-16,2022-05-22,2022
"Vehicle patrols",207,2022-05-16,2022-05-22,2022
"Vehicle assistance responses",3,2022-05-16,2022-05-22,2022
"Welfare check responses",1,2022-05-16,2022-05-22,2022
"Alarm checks",16,2022-05-09,2022-05-15,2022
"Animal issue responses",0,2022-05-09,2022-05-15,2022
"AOD interactions",0,2022-05-09,2022-05-15,2022
"Building patrols",134,2022-05-09,2022-05-15,2022
