"Date","Alarm Checks","Animal Issue Responses","Aod Interactions","Building Patrols","Candle Incense Violation Interactions","Community Assistance Responses","Escorts","Fire Responses","Foot Patrols","Held Door Checks","Maintenance Issue Responses","Medical Assistance Responses","Noise Complaint Responses","Suspicious Circumstance Responses","Theft Reports Taken","Unlocks","Vehicle Patrols","Vehicle Assistance Responses","Welfare Check Responses","Alarm Responses","Segway Patrols","Year"
2021-10-03,NA,NA,NA,167,NA,NA,1,NA,308,20,NA,NA,NA,12,NA,69,197,NA,NA,NA,2,2021
2021-10-10,NA,NA,NA,190,NA,NA,1,NA,344,16,NA,3,NA,27,NA,100,242,4,NA,NA,NA,2021
2021-10-17,NA,2,NA,131,NA,NA,1,NA,230,14,NA,6,NA,17,NA,84,195,3,NA,9,NA,2021
2021-10-24,NA,2,NA,184,NA,NA,1,NA,253,10,NA,2,NA,26,NA,78,210,NA,NA,6,NA,2021
2021-11-07,NA,NA,NA,236,NA,1,5,NA,342,28,NA,2,1,13,NA,80,289,1,NA,NA,NA,2021
2021-11-14,9,NA,1,247,NA,1,7,NA,358,20,NA,2,1,13,NA,83,284,1,NA,NA,NA,2021
2021-11-21,15,1,1,219,NA,3,5,2,413,24,NA,4,1,19,NA,75,301,2,NA,NA,NA,2021
2021-12-05,5,1,1,227,NA,5,4,0,392,8,2,4,2,14,0,77,300,5,1,NA,NA,2021
2021-12-12,3,1,0,252,NA,2,8,0,387,13,2,2,1,14,3,63,306,1,0,NA,NA,2021
2021-12-19,3,0,2,228,NA,4,3,0,388,16,4,4,0,8,0,57,256,4,0,NA,NA,2021
2021-12-26,3,0,0,195,NA,0,0,0,372,6,2,0,0,7,0,30,238,1,0,NA,NA,2021
2022-01-02,8,0,0,204,NA,0,0,0,316,0,1,0,0,12,0,23,273,1,0,NA,NA,2022
2022-01-09,6,0,0,205,NA,0,0,0,398,7,0,3,0,10,0,33,250,1,0,NA,NA,2022
2022-01-16,5,0,0,198,NA,2,1,0,420,6,1,0,0,6,0,64,295,5,0,NA,NA,2022
2022-01-23,7,0,0,172,2,0,0,0,427,5,0,0,1,18,2,83,238,5,0,NA,NA,2022
2022-01-30,5,0,1,152,0,1,0,0,418,4,3,2,0,7,2,61,210,3,0,NA,NA,2022
2022-02-06,11,0,0,138,0,0,2,0,339,3,1,1,2,9,0,63,220,4,0,NA,NA,2022
2022-02-13,8,0,0,156,0,0,2,0,429,6,0,0,1,17,0,74,281,6,0,NA,NA,2022
2022-02-20,9,1,0,156,0,1,3,0,343,4,1,4,3,13,0,63,256,6,2,NA,NA,2022
2022-02-27,9,0,1,161,0,0,5,0,291,3,5,3,0,14,5,95,243,3,1,NA,NA,2022
2022-03-06,8,0,2,172,0,0,5,0,349,11,2,2,1,16,1,74,254,6,0,NA,NA,2022
2022-03-13,8,0,2,166,0,0,1,0,441,2,0,1,0,5,0,67,241,4,0,NA,NA,2022
2022-03-27,7,0,0,174,0,0,1,0,329,5,2,0,0,11,1,46,255,1,NA,NA,NA,2022
2022-04-03,6,0,1,179,0,2,4,0,368,7,1,9,1,21,3,90,311,3,1,NA,NA,2022
2022-04-24,11,0,1,129,0,3,3,0,284,11,4,4,3,12,0,67,231,2,0,NA,NA,2022
2022-05-01,9,0,14,107,0,5,5,0,409,20,6,4,1,22,0,85,241,0,2,NA,NA,2022
2022-05-08,9,0,0,123,0,2,5,0,281,3,1,1,3,11,0,61,240,1,0,NA,NA,2022
2022-05-15,16,0,0,134,0,2,2,0,372,10,4,3,0,4,1,74,227,3,0,NA,NA,2022
2022-05-22,5,0,3,209,0,5,3,0,313,5,3,1,0,16,1,47,207,3,1,NA,NA,2022
2022-05-29,6,0,1,192,0,2,0,0,260,3,0,0,1,19,1,24,175,0,0,NA,NA,2022
2022-06-05,8,0,0,219,0,1,1,0,237,2,0,0,0,14,0,22,150,2,1,NA,NA,2022
2022-06-12,6,0,0,184,0,0,5,1,282,9,2,0,1,18,0,59,205,3,0,NA,NA,2022
2022-06-19,7,0,0,152,0,0,1,0,256,3,2,0,0,5,3,20,152,0,0,NA,NA,2022
2022-06-26,5,0,0,132,0,2,0,0,259,11,0,0,0,5,0,37,200,1,0,NA,NA,2022
2022-07-03,6,0,0,142,0,0,0,0,225,4,0,0,1,9,0,49,191,0,0,NA,NA,2022
2022-07-10,7,0,0,169,0,0,4,0,308,7,0,0,0,11,0,50,248,0,0,NA,NA,2022
2022-07-17,8,0,3,145,0,3,1,0,265,14,6,2,0,12,0,56,185,0,0,NA,NA,2022
2022-07-24,5,0,1,134,0,1,1,0,201,2,3,2,0,18,2,16,2,1,2,NA,NA,2022
2022-07-31,6,0,1,153,0,1,0,0,215,1,0,0,0,16,2,30,188,1,0,NA,NA,2022
2022-08-07,3,0,0,92,0,0,1,0,209,11,1,0,0,10,2,59,174,1,0,NA,NA,2022
2022-08-14,10,0,2,136,0,0,0,0,243,8,2,0,0,9,0,64,183,1,0,NA,NA,2022
2022-08-21,4,0,1,175,0,3,6,0,241,8,2,2,0,5,3,49,198,1,0,NA,NA,2022
2022-08-28,10,1,4,193,0,3,8,0,372,14,2,8,3,16,3,178,247,2,1,NA,NA,2022
2022-09-04,3,0,0,124,0,8,5,0,204,10,0,7,1,12,0,121,194,2,3,NA,NA,2022
2022-09-11,10,0,2,144,0,2,2,0,170,13,1,6,0,6,0,119,209,2,2,NA,NA,2022
2022-09-18,10,0,3,171,0,5,5,0,255,16,4,1,0,18,2,76,230,0,0,NA,NA,2022
2022-09-25,8,0,1,192,0,3,4,0,190,11,2,4,1,6,3,100,184,1,0,NA,NA,2022
2022-10-02,5,0,1,200,0,1,2,0,260,3,1,6,2,5,4,78,130,1,3,NA,NA,2022
2022-10-09,7,0,1,195,1,1,10,1,326,16,0,2,3,17,1,85,163,1,1,NA,NA,2022
2022-10-16,4,0,1,254,1,4,3,0,318,14,0,2,0,7,2,78,170,0,0,NA,NA,2022
2022-10-23,7,1,2,136,0,1,0,0,212,6,0,0,1,4,0,67,221,0,1,NA,NA,2022
2022-10-30,9,0,1,166,0,2,5,0,177,12,0,3,3,3,4,108,223,1,2,NA,NA,2022
2022-11-06,7,0,3,140,0,4,2,0,168,20,1,2,1,20,2,68,191,2,2,NA,NA,2022
2022-11-13,15,0,1,179,0,3,5,1,168,14,4,1,0,3,2,81,213,1,1,NA,NA,2022
2022-11-20,10,1,2,178,0,1,0,0,190,13,2,0,0,13,3,81,235,4,1,NA,NA,2022
2022-11-27,14,0,1,209,0,0,2,0,202,9,3,1,2,18,0,58,263,3,0,NA,NA,2022
2022-12-11,15,0,1,278,0,4,4,0,196,3,5,3,4,12,0,66,268,6,0,NA,NA,2022
2022-12-18,14,0,0,288,0,0,3,0,245,17,1,1,2,6,1,70,213,3,3,NA,NA,2022
2022-12-25,18,0,0,274,0,2,3,0,178,4,1,0,0,12,1,21,247,1,0,NA,NA,2022
2022-12-31,2,0,0,179,0,2,0,0,140,4,0,0,0,1,0,18,178,0,1,NA,NA,2022
2023-01-08,13,1,0,313,0,0,3,0,151,3,2,1,0,7,1,30,259,0,0,NA,NA,2023
2023-01-15,5,0,0,288,0,0,3,0,179,10,2,1,0,9,0,98,266,0,1,NA,NA,2023
2023-01-22,17,0,2,368,0,1,4,0,240,14,4,1,0,7,2,117,280,3,2,NA,NA,2023
2023-01-29,6,0,4,351,0,5,3,0,193,11,2,1,2,23,1,85,307,0,0,NA,NA,2023
2023-02-05,17,0,1,317,0,0,1,0,208,3,2,2,0,16,1,75,284,3,0,NA,NA,2023
2023-02-12,4,0,1,320,0,4,4,0,234,4,2,3,1,10,0,59,283,3,1,NA,NA,2023
2023-02-19,8,0,0,378,0,1,4,0,191,12,0,3,2,9,3,76,271,1,1,NA,NA,2023
2023-02-26,8,0,0,298,0,1,3,0,225,10,0,1,1,5,0,75,216,0,0,NA,NA,2023
2023-03-05,4,1,1,326,0,6,2,0,183,7,3,6,0,9,0,91,252,0,0,NA,NA,2023
2023-03-12,5,0,4,366,0,1,6,0,192,8,2,5,0,8,1,61,262,5,0,NA,NA,2023
2023-03-19,5,0,0,285,0,1,3,0,162,11,1,4,0,10,0,73,252,2,1,NA,NA,2023
2023-03-26,10,0,1,299,0,0,4,0,185,12,4,2,1,5,1,70,226,5,3,NA,NA,2023
2023-04-02,10,0,1,325,0,1,4,0,159,4,1,3,0,10,0,84,266,1,1,NA,NA,2023
